Person,Latitude,Longitude
0,49.18604448,-122.8459963
1,49.18599767,-122.8460235
2,49.1860933,-122.8459362
3,49.1859956,-122.8459755
4,49.18595149,-122.8460431
5,49.18605259,-122.8460192
6,49.18594885,-122.8459301
7,49.18604888,-122.8460296
8,49.18609263,-122.8459451
9,49.18605307,-122.8460963
10,49.18596429,-122.846083
11,49.18602461,-122.8460709
12,49.18602252,-122.8459097
13,49.1859609,-122.8459759
14,49.18594629,-122.8459718
15,49.18594866,-122.8459134
16,49.18606759,-122.8460581
17,49.18593714,-122.846095
18,49.18606937,-122.8460483
19,49.18606134,-122.8460491
20,49.18604716,-122.8460475
21,49.18595054,-122.8459457
22,49.18596581,-122.8460339
23,49.18591399,-122.8459708
24,49.18604379,-122.8460186
25,49.18603677,-122.8460427
26,49.1859324,-122.8460644
27,49.18596034,-122.8459874
28,49.18590256,-122.8459131
29,49.1860885,-122.8459397
30,49.18607409,-122.8460473
31,49.18598454,-122.8460003
32,49.18599799,-122.8460498
33,49.1860361,-122.8460289
34,49.18608129,-122.8459209
35,49.18597978,-122.8460132
36,49.18598907,-122.845988
37,49.18598644,-122.8459198
38,49.18598786,-122.8459312
39,49.18595418,-122.8460847
40,49.18600179,-122.8459101
41,49.18594328,-122.8460721
42,49.18607277,-122.8459258
43,49.18601138,-122.8459971
44,49.18602117,-122.8459166
45,49.18596332,-122.8460171
46,49.18608067,-122.8459486
47,49.18594065,-122.8459535
48,49.18603036,-122.8459873
49,49.18599151,-122.8460469
50,49.18599464,-122.8459997
51,49.18598003,-122.8460335
52,49.18596658,-122.8459657
53,49.1859765,-122.8459354
54,49.18599588,-122.8460379
55,49.18601128,-122.8459185
56,49.18590979,-122.8459392
57,49.18594805,-122.846011
58,49.18601351,-122.8459032
59,49.18589892,-122.8460827
60,49.18601732,-122.8459632
61,49.1860899,-122.8460448
62,49.1859862,-122.8459148
63,49.18607052,-122.8460823
64,49.185909,-122.8460327
65,49.18598979,-122.8459395
66,49.18598944,-122.8460302
67,49.18591212,-122.8460971
68,49.18608313,-122.8459686
69,49.18609166,-122.8459317
70,49.18603576,-122.8459325
71,49.18609521,-122.8460762
72,49.18608136,-122.8459483
73,49.1860745,-122.8459281
74,49.18607408,-122.8460551
75,49.18605774,-122.8460497
76,49.18592492,-122.8460626
77,49.18599546,-122.8459743
78,49.18607271,-122.8460743
79,49.18592863,-122.8459469
80,49.18592798,-122.8460968
81,49.18606155,-122.8459073
82,49.18603042,-122.8460053
83,49.18607109,-122.8460598
84,49.18601496,-122.8459823
85,49.18594704,-122.8459213
86,49.185956,-122.8460337
87,49.1859243,-122.8459593
88,49.18606808,-122.8460921
89,49.18592096,-122.8459825
90,49.18594195,-122.8460072
